movie_id,Movie_name,tags
19995,Avatar,jamescameron action adventure fantasy sciencefiction jakesully neytiri dr.graceaugustine culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d
285,Pirates of the Caribbean: At World's End,goreverbinski adventure fantasy action captainjacksparrow willturner elizabethswann ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
206647,Spectre,sammendes action adventure crime jamesbond blofeld madeleine spy based on novel secret agent sequel mi6 british secret service united kingdom
49026,The Dark Knight Rises,christophernolan action crime drama thriller brucewayne/batman alfredpennyworth jamesgordon dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
49529,John Carter,andrewstanton action adventure sciencefiction johncarter dejahthoris sola based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d
559,Spider-Man 3,samraimi fantasy action adventure peterparker/spider-man maryjanewatson harryosborn/newgoblin dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge
38757,Tangled,byronhoward nathangreno animation family flynnrider(voice) rapunzel(voice) mothergothel(voice) hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick
99861,Avengers: Age of Ultron,josswhedon action adventure sciencefiction tonystark/ironman thorodinson brucebanner/hulk marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
767,Harry Potter and the Half-Blood Prince,davidyates adventure fantasy family harrypotter ronweasley hermionegranger witch magic broom school of witchcraft wizardry apparition teenage crush werewolf
209112,Batman v Superman: Dawn of Justice,zacksnyder action adventure fantasy brucewayne/batman clarkkent/superman dianaprince/wonderwoman dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe
1452,Superman Returns,bryansinger adventure fantasy action sciencefiction superman/clarkkent lexluthor loislane saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor
10764,Quantum of Solace,marcforster adventure action thriller crime jamesbond camillemontes dominicgreene killing undercover secret agent british secret service
58,Pirates of the Caribbean: Dead Man's Chest,goreverbinski adventure fantasy action captainjacksparrow willturner elizabethswann witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
57201,The Lone Ranger,goreverbinski action adventure western tonto johnreid/theloneranger butchcavendish texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto
49521,Man of Steel,zacksnyder action adventure fantasy sciencefiction clarkkent/kal-el loislane generalzod saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe
2454,The Chronicles of Narnia: Prince Caspian,andrewadamson adventure family fantasy princecaspian peterpevensie susanpevensie based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world
24428,The Avengers,josswhedon sciencefiction action adventure tonystark/ironman steverogers/captainamerica brucebanner/thehulk new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe
1865,Pirates of the Caribbean: On Stranger Tides,"robmarshall adventure action fantasy captainjacksparrow angelicateach captainedward""blackbeard""teach sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d"
41154,Men in Black 3,barrysonnenfeld action comedy sciencefiction agentj agentk youngagentk time travel time machine alien fictional government agency seeing the future changing history
122917,The Hobbit: The Battle of the Five Armies,peterjackson action adventure fantasy bilbobaggins gandalf thorinoakenshield corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery
1930,The Amazing Spider-Man,marcwebb action adventure fantasy peterparker/spider-man gwenstacy dr.curtconnors/thelizard loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger
20662,Robin Hood,ridleyscott action adventure robinlongstride marionloxley sirwalterloxley robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england
57158,The Hobbit: The Desolation of Smaug,peterjackson adventure fantasy bilbobaggins gandalf thorinoakenshield elves dwarves orcs hobbit dragon wizard sword and sorcery
2268,The Golden Compass,chrisweitz adventure fantasy lyrabelacqua marisacoulter lordasriel england compass experiment lordship uncle polar bear orphan animal based on young adult novel
254,King Kong,peterjackson adventure drama action anndarrow carldenham jackdriscoll film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur
597,Titanic,jamescameron drama romance thriller rosedewittbukater jackdawson ruthdewittbukater shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s
